Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PE7;57;P9;67;76;U9;I/O;TT_ha;;TIM1_ETR;;DFSDM1_DATIN2;;;;UART7_RX;;;QUADSPI_BK2_IO0;;FMC_D4/FMC_DA4;;;EVENTOUT;TIM1_ETR, DFSDM1_DATIN2, UART7_RX, QUADSPI_BK2_IO0, FMC_D4/FMC_DA4, EVENTOUT;OPAMP2_VOUT, COMP2_INM;;
PE8;58;N8;68;77;T9;I/O;TT_ha;;TIM1_CH1N;;DFSDM1_CKIN2;;;;UART7_TX;;;QUADSPI_BK2_IO1;;FMC_D5/FMC_DA5;COMP2_OUT;;EVENTOUT;TIM1_CH1N, DFSDM1_CKIN2, UART7_TX, QUADSPI_BK2_IO1, FMC_D5/FMC_DA5, COMP2_OUT, EVENTOUT;OPAMP2_VINM;;
PE9;59;R11;69;78;P9;I/O;TT_ha;;TIM1_CH1;;DFSDM1_CKOUT;;;;UART7_RTS/UART7_DE;;;QUADSPI_BK2_IO2;;FMC_D6/FMC_DA6;;;EVENTOUT;TIM1_CH1, DFSDM1_CKOUT, UART7_RTS/UART7_DE, QUADSPI_BK2_IO2, FMC_D6/FMC_DA6, EVENTOUT;OPAMP2_VINP, COMP2_INP;;
VSS;;G6;70;79;J17;S;;;;;;;;;;;;;;;;;;;;;
VDD;;M9;71;80;J13;S;;;;;;;;;;;;;;;;;;;;;
PE10;60;R9;72;81;N9;I/O;FT_ha;;TIM1_CH2N;;DFSDM1_DATIN4;;;;UART7_CTS;;;QUADSPI_BK2_IO3;;FMC_D7/FMC_DA7;;;EVENTOUT;TIM1_CH2N, DFSDM1_DATIN4, UART7_CTS, QUADSPI_BK2_IO3, FMC_D7/FMC_DA7, EVENTOUT;COMP2_INM;;
PE11;61;R12;73;82;P10;I/O;FT_ha;;TIM1_CH2;;DFSDM1_CKIN4;;SPI4_NSS;;;;;SAI2_SD_B;;FMC_D8/FMC_DA8;;LCD_G3;EVENTOUT;TIM1_CH2, DFSDM1_CKIN4, SPI4_NSS, SAI2_SD_B, FMC_D8/FMC_DA8, LCD_G3, EVENTOUT;COMP2_INP;;
PE12;62;P12;74;83;R10;I/O;FT_h;;TIM1_CH3N;;DFSDM1_DATIN5;;SPI4_SCK;;;;;SAI2_SCK_B;;FMC_D9/FMC_DA9;COMP1_OUT;LCD_B4;EVENTOUT;TIM1_CH3N, DFSDM1_DATIN5, SPI4_SCK, SAI2_SCK_B, FMC_D9/FMC_DA9, COMP1_OUT, LCD_B4, EVENTOUT;;;
PE13;63;P13;75;84;T10;I/O;FT_h;;TIM1_CH3;;DFSDM1_CKIN5;;SPI4_MISO;;;;;SAI2_FS_B;;FMC_D10/FMC_DA10;COMP2_OUT;LCD_DE;EVENTOUT;TIM1_CH3, DFSDM1_CKIN5, SPI4_MISO, SAI2_FS_B, FMC_D10/FMC_DA10, COMP2_OUT, LCD_DE, EVENTOUT;;;
VSS;;G7;;;T12;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;K13;S;;;;;;;;;;;;;;;;;;;;;
PE14;64;M12;76;85;U10;I/O;FT_h;;TIM1_CH4;;;;SPI4_MOSI;;;;;SAI2_MCLK_B;;FMC_D11/FMC_DA11;;LCD_CLK;EVENTOUT;TIM1_CH4, SPI4_MOSI, SAI2_MCLK_B, FMC_D11/FMC_DA11, LCD_CLK, EVENTOUT;;;
PE15;65;P14;77;86;R11;I/O;FT_h;;TIM1_BKIN;;;;;;;;;;;FMC_D12/FMC_DA12;TIM1_BKIN_COMP12/COMP_TIM1_BKIN;LCD_R7;EVENTOUT;TIM1_BKIN, FMC_D12/FMC_DA12, TIM1_BKIN_COMP12/COMP_TIM1_BKIN, LCD_R7, EVENTOUT;;;
PB10;66;N12;78;87;P11;I/O;FT_f;;TIM2_CH3;HRTIM_SCOUT;LPTIM2_IN1;I2C2_SCL;SPI2_SCK/I2S2_CK;DFSDM1_DATIN7;USART3_TX;;QUADSPI_BK1_NCS;OTG_HS_ULPI_D3;ETH_MII_RX_ER;;;LCD_G4;EVENTOUT;TIM2_CH3, HRTIM_SCOUT, LPTIM2_IN1, I2C2_SCL, SPI2_SCK/I2S2_CK, DFSDM1_DATIN7, USART3_TX, QUADSPI_BK1_NCS, OTG_HS_ULPI_D3, ETH_MII_RX_ER, LCD_G4, EVENTOUT;;;
PB11;67;P10;79;88;P12;I/O;FT_f;;TIM2_CH4;HRTIM_SCIN;LPTIM2_ETR;I2C2_SDA;;DFSDM1_CKIN7;USART3_RX;;;OTG_HS_ULPI_D4;ETH_MII_TX_EN/ETH_RMII_TX_EN;;;LCD_G5;EVENTOUT;TIM2_CH4, HRTIM_SCIN, LPTIM2_ETR, I2C2_SDA, DFSDM1_CKIN7, USART3_RX, OTG_HS_ULPI_D4, ETH_MII_TX_EN/ETH_RMII_TX_EN, LCD_G5, EVENTOUT;;;
VCAP;68;R13;80;89;U11;S;;;;;;;;;;;;;;;;;;;;;
VSS;69;M10;81;90;;S;;;;;;;;;;;;;;;;;;;;;
VDDLDO;70;R14;82;91;U12;S;;;;;;;;;;;;;;;;;;;;;
VDD;71;;;;L13;S;;;;;;;;;;;;;;;;;;;;;
PJ5;;;;;R12;I/O;FT;;;;;;;;;;;;;;;LCD_R6;EVENTOUT;LCD_R6, EVENTOUT;;;
PH6;;P15;;92;T11;I/O;FT;;;TIM12_CH1;;I2C2_SMBA;SPI5_SCK;;;;;;ETH_MII_RXD2;FMC_SDNE1;DCMI_D8;;EVENTOUT;TIM12_CH1, I2C2_SMBA, SPI5_SCK, ETH_MII_RXD2, FMC_SDNE1, DCMI_D8, EVENTOUT;;;
PH7;;M11;;93;U13;I/O;FT_fa;;;;;I2C3_SCL;SPI5_MISO;;;;;;ETH_MII_RXD3;FMC_SDCKE1;DCMI_D9;;EVENTOUT;I2C3_SCL, SPI5_MISO, ETH_MII_RXD3, FMC_SDCKE1, DCMI_D9, EVENTOUT;;;
PH8;;N13;;94;T13;I/O;FT_fha;;;TIM5_ETR;;I2C3_SDA;;;;;;;;FMC_D16;DCMI_HSYNC;LCD_R2;EVENTOUT;TIM5_ETR, I2C3_SDA, FMC_D16, DCMI_HSYNC, LCD_R2, EVENTOUT;;;
